page_id,page_name,page_url,page_last_update,page_content_html,page_content_md,scrape_date
6398,Pós-Graduação em Ciência da Computação,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/,19/Out/2023 11:56,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/programas-de-pos-graduacao_ciencia-da-computacao.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/programas-de-pos-graduacao_ciencia-da-computacao.md,2024-10-25
8195,Disciplinas 2024,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/horario-de-disciplinas/disciplinas-2024/,30/Jul/2024 09:26,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/horario-de-disciplinas_disciplinas-2024.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/horario-de-disciplinas_disciplinas-2024.md,2024-10-25
8195,PROPG Portfólio de Integração de Disciplinas da Pós-graduação,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/horario-de-disciplinas/portfolio---disciplinas---unesp/,30/Jul/2024 09:26,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/horario-de-disciplinas_portfolio---disciplinas---unesp.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/horario-de-disciplinas_portfolio---disciplinas---unesp.md,2024-10-25
8027,Quadro de Disciplinas,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/horario-de-disciplinas/,22/Jan/2024 08:30,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/ciencia-da-computacao_horario-de-disciplinas.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/ciencia-da-computacao_horario-de-disciplinas.md,2024-10-25
8479,Processo Seletivo Mestrado - PPGCC - 2025,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/informacoes-para-candidatos/processo-seletivo-de-mestrado-2025/,09/Out/2024 17:21,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/informacoes-para-candidatos_processo-seletivo-de-mestrado-2025.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/informacoes-para-candidatos_processo-seletivo-de-mestrado-2025.md,2024-10-25
8189,Seleção de Doutorado em fluxo contínuo 2024 - PPGCC,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/informacoes-para-candidatos/processo-seletivo-doutorado-em-fluxo-continuo-2024/,08/Ago/2024 10:14,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/informacoes-para-candidatos_processo-seletivo-doutorado-em-fluxo-continuo-2024.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/informacoes-para-candidatos_processo-seletivo-doutorado-em-fluxo-continuo-2024.md,2024-10-25
8026,Processo Seletivo,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/informacoes-para-candidatos/,25/Set/2024 20:57,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/ciencia-da-computacao_informacoes-para-candidatos.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/ciencia-da-computacao_informacoes-para-candidatos.md,2024-10-25
5823,Calendário de Reuniões do Conselho,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/calendario/calendario-de-reunioes---pautas-e-atas/,10/Out/2024 10:01,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/calendario_calendario-de-reunioes---pautas-e-atas.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/calendario_calendario-de-reunioes---pautas-e-atas.md,2024-10-25
1780,PPG Ciência da Computação - Calendários,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/calendario/calendario-do-programa/,24/Jan/2024 16:15,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/calendario_calendario-do-programa.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/calendario_calendario-do-programa.md,2024-10-25
1780,PPG Ciência da Computação - Calendários,https://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/calendario/,24/Jan/2024 16:15,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/raw/page_content/html/ciencia-da-computacao_calendario.html,/home/schuck/Desktop/Unesp/Aprendizado Profundo/projeto implementacao/01-scraper/scraper/data/preprocessed/page_content/markdown/ciencia-da-computacao_calendario.md,2024-10-25
